model,case,initial_yaw_rad,seconds,full_20s,mean_vx,xy_rmse,mean_wz,wz_rmse,yaw_change_deg,min_height,max_tilt_deg,contact_foot_speed_rms,foot_flight_fraction
retained5759,stand,0.0,20.0,True,0.0001991367171285674,0.002665676875039935,0.001678413012996316,0.005527015775442123,-2.837403588309044,0.7643910646438599,7.025431156158447,0.007861491292715073,0.0
retained5759,slow,0.0,20.0,True,0.31686529517173767,0.08862264454364777,-0.013494539074599743,0.6873313784599304,-35.19386109481134,0.7509129047393799,6.790902614593506,0.2708406448364258,0.0
retained5759,forward,0.0,20.0,True,0.49075236916542053,0.11008258908987045,0.02313106879591942,0.761138916015625,-6.6888939004263435,0.7453122735023499,6.884300708770752,0.4142514765262604,0.0
retained5759,medium,0.0,20.0,True,0.9138790965080261,0.1385689228773117,-0.35654839873313904,0.6385011672973633,-443.08611938409956,0.7216814756393433,17.73169708251953,0.5695167183876038,0.0
retained5759,fast,0.0,20.0,True,1.9907028675079346,0.45586097240448,-0.36305221915245056,2.4460628032684326,-339.82180071899745,0.6973063349723816,30.6463565826416,0.423197478055954,0.022222222222222223
retained5759,fastest,0.0,20.0,True,2.2788355350494385,0.6099883317947388,-0.12252748757600784,2.8166379928588867,-230.1312302713971,0.672083854675293,30.69062042236328,0.5028588175773621,0.028888888888888888
retained5759,left,0.0,20.0,True,0.49065226316452026,0.110283263027668,0.025319574400782585,0.7796959280967712,-3.2955432226427037,0.7458784580230713,6.990442752838135,0.4497920274734497,0.0
retained5759,right,0.0,20.0,True,0.4922625720500946,0.10913076996803284,0.02406894601881504,0.7950621843338013,-3.089290933058771,0.7437379956245422,6.819492816925049,0.38670068979263306,0.0
retained5759,speed_changes,0.0,20.0,True,1.0320631265640259,0.7250733971595764,-0.2537778317928314,1.6793042421340942,-299.0838204333734,0.5170066356658936,41.91995620727539,0.4135564863681793,0.02
control6000,stand,0.0,20.0,True,0.12787097692489624,0.16508865356445312,0.31623801589012146,1.0906823873519897,362.19129862819284,0.7410491704940796,18.929269790649414,0.23564599454402924,0.0
control6000,slow,0.0,20.0,True,0.2498771846294403,0.162745863199234,0.537297785282135,1.2447152137756348,596.8513814514153,0.7349933385848999,18.718029022216797,0.3284686505794525,0.0
control6000,forward,0.0,20.0,True,0.34446650743484497,0.22128531336784363,0.6733972430229187,1.352348804473877,744.7150322267598,0.7350453734397888,17.856178283691406,0.46986502408981323,0.0
control6000,medium,0.0,20.0,True,0.8867042660713196,0.22492986917495728,0.4867021441459656,1.387490153312683,539.8310498071812,0.7090535163879395,10.61665153503418,0.9552304744720459,0.0
control6000,fast,0.0,20.0,True,2.1873319149017334,0.43019500374794006,-0.5432535409927368,1.5894566774368286,-654.032195220388,0.6491647958755493,21.833669662475586,0.5050861835479736,0.011111111111111112
control6000,fastest,0.0,20.0,True,2.4059956073760986,0.5484036803245544,-0.43236443400382996,1.7503939867019653,-526.9592577879687,0.6261245012283325,22.66497039794922,0.606563150882721,0.034444444444444444
control6000,left,0.0,20.0,True,0.34249457716941833,0.2245446741580963,0.6796781420707703,1.2581720352172852,750.8319310813698,0.7348609566688538,18.054828643798828,0.4734881818294525,0.0
control6000,right,0.0,20.0,True,0.34706392884254456,0.2186456322669983,0.6601178646087646,1.4642390012741089,729.9133019556684,0.7348586916923523,17.688520431518555,0.469306081533432,0.0
control6000,speed_changes,0.0,20.0,True,0.9340083599090576,0.5555605888366699,0.046261511743068695,1.348563313484192,47.714533579361,0.6125875115394592,29.29938316345215,0.5773177146911621,0.0033333333333333335
yaw2_6000,stand,0.0,20.0,True,0.00015207637625280768,0.004996167030185461,0.00428473437204957,0.005461148452013731,-1.605174282788921,0.7812013030052185,8.162576675415039,0.0070814830251038074,0.0
yaw2_6000,slow,0.0,20.0,True,0.18589557707309723,0.1328955441713333,0.009583750739693642,0.14748799800872803,0.7430801854677822,0.759865403175354,6.309256076812744,0.1735364943742752,0.0
yaw2_6000,forward,0.0,20.0,True,0.41245388984680176,0.12362297624349594,0.06603769212961197,0.26886501908302307,50.06541297469311,0.7510133385658264,6.177744388580322,0.3809109330177307,0.0
yaw2_6000,medium,0.0,20.0,True,1.0406113862991333,0.17033126950263977,-0.46936699748039246,0.6411423087120056,-604.5706426853102,0.708601176738739,32.17431640625,0.3352915942668915,0.0
yaw2_6000,fast,0.0,20.0,True,2.110874652862549,0.35298430919647217,-0.21281960606575012,1.019089698791504,-407.0747119663944,0.6494175791740417,39.24580001831055,0.5483946204185486,0.0
yaw2_6000,fastest,0.0,6.5600000000000005,False,2.5839736461639404,0.4698747396469116,0.006498964037746191,1.2699087858200073,-42.3265490978802,0.6058916449546814,46.7030143737793,0.8320662379264832,0.013157894736842105
yaw2_6000,left,0.0,20.0,True,0.37753814458847046,0.14965593814849854,0.11708216369152069,0.24553711712360382,114.97389935552361,0.7543697357177734,6.300828456878662,0.3277597427368164,0.0
yaw2_6000,right,0.0,20.0,True,0.42860761284828186,0.10855953395366669,-0.008855504915118217,0.33494582772254944,-36.76972917030585,0.7481482625007629,6.06255578994751,0.3602432608604431,0.0
yaw2_6000,speed_changes,0.0,20.0,True,0.9631495475769043,0.5270882844924927,-0.09309627115726471,0.6850155591964722,-165.69309462247577,0.6222308874130249,43.21880340576172,0.4374096393585205,0.0044444444444444444
